7,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
3,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
1.5,L,2
1.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
3,S,5
0.5,S,5
0.5,S,5
0.5,S,5
0.5,S,5
1,L,0
1,L,4
1,S,7
0.5,S,7
0.5,S,7
0.5,S,7
0.5,S,7
0.5,M,0
0.5,M,1
0.5,M,2
0.5,M,3
0.5,M,4
0.5,M,5
0.5,M,6
0.5,M,7
0.5,M,8
1.5,L,0
1.5,L,1
1.5,L,2
1.5,L,3
1.5,L,4
1.5,L,5
1.5,L,6
1.5,L,7
1.5,L,8
7,B,2
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
5,S,0
5,S,1
5,S,3
5,S,4
5,S,6
5,S,7
5,S,2
5,S,8
5,S,2
5,S,4
5,S,0
5,S,6
5,S,0
5,S,7
5,S,9
