7,S,1
0.5,S,1
0.5,S,1
0.5,S,1
0.5,S,1
3,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
1.5,L,2
1.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
0.5,S,3
3,S,5
0.5,S,5
0.5,S,5
0.5,S,5
0.5,S,5
1,L,0
1,L,4
1,S,7
0.5,S,7
0.5,S,7
0.5,S,7
0.5,S,7
0.5,M,0
0.5,M,1
0.5,M,2
0.5,M,3
0.5,M,4
0.5,M,5
0.5,M,6
0.5,M,7
0.5,M,8
1,L,0
1,L,1
1,L,2
1,L,3
1,L,4
1,L,5
1,L,6
1,L,7
1,L,8
1,L,1
1,L,3
1,L,5
1,L,4
1,L,2
1,L,0
1,L,8
1,L,6
1,L,2
7,B,2
0,L,0
0,L,4
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,4
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,2
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,1
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,5
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,0
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,3
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,8
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,6
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,4
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,2
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,1
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,5
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,0
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,3
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,8
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,6
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,4
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,2
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,1
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,5
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,0
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,3
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,8
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,6
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,4
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,2
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,1
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,5
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,0
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,3
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,8
2.5,M,0
5,M,1
5,M,2
5,M,3
5,M,4
2.5,L,6
